CHOACHUKANG,158648,5
PIONEER,25745,1
HONGKAHNORTH,27701,1
YUHUA,23199,1
WESTCOAST,121045,5
RADINMAS,31104,1
HOLLDANDBUKITTIMAH,91607,4
BUKITPANJANG,33053,4
TANJONGPAGAR,139771,5
SEMBAWANG,142459,5
NEESOON,148290,5
ANGMOKIO,179071,6
MOULMEINKALLANG,87595,4
BISHANTOAPAYOH,122492,5
POTONGPASIR,17327,1
MOUNTBATTEN,23731,1
WHAMPOA,21361,1
MARINEPARADE,154451,5
EASTCOAST,12324,5
JOOCHIAT,22069,1
PASIRRISPUNGGOL,168971,6
ALJUNIED,143148,5
PUNGGOLEAST,33281,1
SENGKANGWEST,26682,1
HOUGANG,24560,1
TAMPINES,137532,5
